Player,St,D/I
AW Hawkins-Kay,0,0.437
JO Holder,0,0.411
Imran Tahir,0,0.184
Iqbal Hussain,0,0.466
JH Kallis,0,0.28
Kuldeep Yadav,0,0.368
MJ McClenaghan,0,0.241
MW Machan,0,0.538
AD Mascarenhas,0,0.5
Mehidy Hasan Miraz,0,0.538
BMAJ Mendis,0,0.318
AK Mohan,2,1.4
PJ Moor,0,0.333
Mosaddek Hossain,0,0.5
K Motlhanka,4,1
SP Narine,0,0.137
H Osinde,0,0.636
MK Pandey,0,0.218
KH Pandya,0,0.388
LE Plunkett,0,0.318
N Pooran,0,0.437
JD Ryder,0,0.318
RR Sarwan,0,0.388
MD Shanaka,0,0.2
Simi Singh,0,0.388
Sohail Tanvir,0,0.122
MP Stoinis,0,0.388
MR Swart,0,0.269
R Tari,0,0.5
TP Ura,0,0.304
Waqas Barkat,0,0.318
MRJ Watt,0,0.212
KOK Williams,0,0.291
Yasir Ali,0,0.777
CA Young,0,0.28
Abdur Rehman,0,0.75
DS Airee,0,0.333
PS Airee,1,0.545
Anshuman Rath,0,0.3
Awais Ahmed,1,0.666
NW Bracken,0,0.315
JJ Bumrah,0,0.142
PVD Chameera,0,0.315
TLW Cooper,0,0.352
FA Cossa,0,1.2
AG Cremer,0,0.206
ST Finn,0,0.285
JS Foster,3,1.2
SO Hetmyer,0,0.3
SD Hope,0,0.461
GJ Hopkins,2,0.6
Imran Ismail,0,1
Janak Prakash,0,0.5
Kamran Khan,0,0.428
Karim Sadiq,0,0.166
B Kumar,0,0.139
ND Laegsgaard,0,0.857
TWM Latham,0,0.461
B Lee,0,0.24
AR McBrine,0,0.333
PK Matautaava,0,0.6
BAW Mendis,0,0.153
BKG Mendis,0,0.25
Mohammad Nawaz,0,0.375
CH Morris,0,0.26
Muhammad Usman,0,0.176
Nasir Jamshed,0,0.333
AR Nurse,0,0.461
Nurul Hasan,4,0.666
NN Odhiambo,0,0.25
HH Patel,0,0.857
CW Perchard,0,0.4
BBJL Perera,0,0.857
AL Phehlukwayo,0,0.26
Rehman Abdul,0,1
S Samarawickrama,2,0.857
Shafraz Jaleel,2,1.5
HAM Shah,0,0.857
TAM Siriwardana,0,0.272
P Utseya,0,0.171
MN van Wyk,1,0.75
JNT Vare,2,0.75
S Vesawkar,0,0.352
Virandeep Singh,0,0.5
DF Watts,0,0.6
Zeeshan Maqsood,0,0.214
Aarif Sheikh,0,0.454
Adnan Ilyas,0,0.454
KK Ahuja,3,0.625
CJA Amini,0,0.217
Anwar Ali,0,0.312
Ariful Haque,0,0.555
SJ Baard,0,0.384
O Bascome,1,0.454
PKD Chase,0,0.416
DT Christian,0,0.312
BCJ Cutting,0,0.714
MD Dai,0,0.555
A Dananjaya,0,0.227
GJ Delany,0,0.294
NS Dhaliwal,0,0.416
AC Douglas,0,0.5
FH Edwards,0,0.25
Fahad Ali,1,1.666
Faisal Javed,0,0.333
LB Ferbrache,0,0.555
A Flintoff,0,0.714
DM Gondaria,0,0.454
NA Greenwood,0,0.625
DAS Gunaratne,0,0.416
S Hallett,1,1.25
Hilal Ahmad,0,0.714
BJ Hodge,0,0.333
Ibrahim Hassan,0,0.454
Jagjit Singh,0,1.25
KM Jarvis,0,0.227
MG Johnson,0,0.166
EC Joyce,0,0.294
Junaid Sheikh,0,1
D Kansonkho,0,0.714
Karim Janat,0,0.238
SP Khakurel,3,0.625
UT Khawaja,0,0.555
JP Kotze,0,0.416
HG Kuhn,0,0.714
NR Kumar,0,0.277
AV Lalcheta,0,0.312
JS Malhotra,3,0.833
A Mansale,0,0.357
T Maruma,0,0.384
S Matsikenyeri,0,0.5
SS McKechnie,1,0.5
EJB Miles,0,0.357
AF Milne,0,0.238
Mirwais Ashraf,0,0.2
Mohammad Rizwan,2,0.312
Mohammed Nadeem,0,0.333
M Morkel,0,0.113
CB Mpofu,0,0.166
Muhammad Tanveer,0,0.333
S Muniandy,0,0.357
C Munoz-Mills,0,0.555
SJ Myburgh,0,0.156
JDS Neesham,0,0.277
R Nehonde,0,0.714
OE Newey,1,0.714
RJ Nicol,0,0.238
NM Odhiambo,0,0.312
TM Odoyo,0,0.454
CN Onwuzulike,0,0.555
R Panchal,0,0.555
WD Parnell,0,0.125
AR Patel,0,0.454
MD Patel,2,0.625
NK Patel,0,1.25
Rahmanullah Gurbaz,1,0.714
J Rasu,0,0.384
D Ravu,0,0.294
JJ Roy,0,0.156
Sami Sohail,0,0.714
Sandeep Goud,0,0.416
E Schiferli,0,0.833
Shafiq Sharif,3,0.555
KD Shah,0,0.192
OA Shah,0,0.294
Shapoor Zadran,0,0.147
Sharjeel Khan,0,0.333
RJ Sidebottom,0,0.277
LPC Silva,0,0.312
TB Sole,0,0.555
GP Swann,0,0.128
SR Taylor,0,0.625
SO Tikolo,0,0.333
AJ Turner,0,0.454
C Viljoen,0,0.416
JM Vince,0,0.416
Wahab Riaz,0,0.161
B Ward,0,0.384
Washington Sundar,0,0.277
Abdul-Shakoor Rahimzei,0,0.571
CN Ackermann,0,0.363
Adnan Idrees,0,0.666
Aftab Ahmed,0,0.363
FA Allen,0,0.363
Amjad Javed,0,0.181
SE Aquilina,4,1
Asad Mohammad,0,0.444
MA Baig,0,0.571
B Banerjee,0,0.666
T Banton,0,1.333
JP Behrendorff,0,0.666
IR Bell,0,0.5
TS Bharaj,0,0.571
Meet Bhavsar,0,0.444
MP Biddappa,1,1
Bilal Tahir,0,1
Bilal Zalmai,1,0.8
PRP Boissevain,0,1
SE Bond,0,0.2
DM Bravo,0,0.2
NT Broom,0,0.363
DE Budge,0,0.666
RW Chakabva,0,0.333
TL Chatara,0,0.19
JW Chilia,0,0.285
K Christie,0,0.363
SR Clark,0,0.444
DDP D'Silva,0,0.4
DAP Darrell,0,0.363
TN de Grooth,0,0.285
DM de Silva,0,0.307
PWH de Silva,0,0.5
S Dhaniram,0,0.363
S Dube,0,0.666
Ehsan Khan,0,0.266
Elias Sunny,0,0.571
GD Elliott,0,0.235
Fahad Tariq,0,0.666
Farhad Reza,0,0.307
O Fournier,0,2
PG Fulton,0,0.333
PF Gallagher,0,1.333
G Goudie,0,0.444
TGJ Gruijters,0,0.5
K Gupta,1,1
OD Hald,0,0.571
Hamza Tahir,0,0.363
RM Haq,0,0.2
TM Head,0,0.25
R Hekure,0,0.5
DR Hooper,0,0.444
Hussain Talat,0,0.285
DP Hyatt,0,0.8
Imran Haider,2,2
Imrul Kayes,0,0.285
SS Iyer,0,0.285
ST Jayasuriya,0,0.129
LM Jongwe,0,0.5
SHT Kandamby,0,0.8
G Kansonkho,0,0.666
AN Kervezee,0,0.4
Khalid Latif,0,0.307
BA King,0,0.666
EB Knowles,0,0.571
SC Kuggeleijn,0,0.444
Kuldeep Lal,0,0.5
RE Levi,0,0.307
N Madziva,0,0.266
MSS Mandy,0,1
MR Marsh,0,0.363
XM Marshall,0,0.307
WP Masakadza,0,0.333
Md Nurul Huda,0,0.8
AS Mehmi,0,1.333
Mohammad Amir,0,0.083
Mohammad Ashraful,0,0.173
Mohammad Boota,1,0.25
Mohammad Naveed,0,0.129
Muhammad Awais,1,1.333
GRD Munasinghe,0,0.571
A Nehra,0,0.148
A Neill,0,0.8
SN Netravalkar,0,0.5
N Nipiko,0,0.285
Noor Ali Zadran,0,0.2
AA Obanda,0,0.133
JS Patel,0,0.363
RK Paudel,0,0.363
N Pokana,0,0.21
S Prasanna,0,0.2
AT Rayudu,0,0.666
B Regmi,0,0.222
MJ Richardson,3,1.333
MJG Rippon,0,0.235
PADLR Sandakan,0,0.285
Saqlain Haider,0,0.666
T Shamsi,0,0.25
I Sharma,0,0.285
B Shikongo,0,0.363
Sikander Zulfiqar,0,0.363
Simandeep Singh,0,0.571
Sohaib Maqsood,0,0.2
ES Szwarczynski,0,0.307
Tanwir Afzal,0,0.19
RN ten Doeschate,0,0.19
C Tommy,0,0.333
I Udana,0,0.148
Umar Amin,0,0.285
DLS van Bunge,0,0.307
RR Watson,0,0.444
K Weeraratne,0,0.8
Yasir Shah,0,2
Ziaur Rahman,0,0.285
MR Adair,0,0.176
S Adedeji,0,0.5
Afif Hossain,0,0.375
Aftab Alam,0,0.25
KK Ahmed,0,0.214
Ainool Haqqiem,2,0.75
TP Allen,0,0.6
Al-Amin Hossain,0,0.115
Amir Mangal,0,0.333
JM Anderson,0,0.157
Anowarul Islam,0,0.75
P Arrighi,0,0.6
Asad Shafiq,0,0.3
NJ Astle,0,0.75
TD Astle,0,1
AJ Ayannaike,1,1
F Baaleri,0,0.75
Babar Ali,0,1
V Balakrishnan,0,1
OGL Bascome,0,0.272
V Baskaran,0,0.25
C Bisson,0,0.214
A Bohara,0,0.176
DG Brownlie,0,0.6
IG Butler,0,0.157
J Butler,0,0.333
C Carter,1,0.3
C Chete,0,1.5
LA Collado,1,0.75
PC Connell,0,0.375
TK Curran,0,0.2
CJ Dala,0,0.333
SM Davies,1,0.6
CD de Lange,0,0.428
Delawar Khan,0,0.428
BFW de Leede,0,0.375
JL Denly,0,0.3
N Dutta,0,0.272
LH Ferguson,0,0.375
CRD Fernando,0,0.166
Fiaz Ahmed,0,0.75
Fitri Sham,0,0.214
SC Getkate,0,0.214
D Gim,0,0.5
BD Glover,0,0.157
LF Goncalves,2,1
Z Groenewald,0,0.3
GM Hamilton,0,0.272
Haris Sohail,0,0.214
BE Hendricks,0,0.272
MC Henriques,0,0.272
JR Hopes,0,0.25
Ibrarul Haq,0,0.6
Imran Farhat,0,0.428
Imran Khan,0,1
Inam-ul-Haq,0,0.272
MM Iqbal,0,0.5
Izatullah Dawlatzai,0,0.214
Jahurul Islam,0,1
GSNFG Jayasuriya,0,0.187
S Jora,0,0.5
I Katzarski,0,1
S Kaveri,0,0.428
JM Kemp,0,0.375
Khurram Nawaz,0,0.166
J Kila,0,0.25
AK Kitchen,0,0.75
RAS Lakmal,0,0.272
S Lamichhane,0,0.166
KS Leverock,0,0.25
CA Lynn,0,0.176
WK McCallan,0,0.375
R McLaren,0,0.25
CD McMillan,0,0.375
WJ Malinda,0,1
SE Marsh,0,0.2
RD McCann,2,1
Md Shafiqul Haque,2,0.75
GP Meade,0,0.428
Mehran Khan,0,0.166
T Mishra,0,0.2
Mohamed Rishwan,0,0.272
Mohammad Asif,0,0.272
Mohammad Mithun,0,0.25
Mohammad Saifuddin,0,0.23
Mohammad Sami,0,0.23
JM Muirhead,0,0.6
Mujeeb Ur Rahman,0,0.187
AA Mulla,2,0.75
T Munyonga,0,0.6
TJ Murtagh,0,0.214
Najeeb Tarakai,0,0.25
M Nasim Baras,0,1
A Ndlovu,0,1
PM Nevill,1,0.333
DO Obuya,1,0.3
H Patel,0,0.272
SR Patel,0,0.166
JL Pattinson,0,0.75
Pavandeep Singh,0,0.3
RW Price,0,0.187
S Qeshile,0,1.5
K Rabada,0,0.142
LN Rajbanshi,0,0.25
Aminuddin Ramly,0,0.333
S Ravikumar,0,1
AJ Redmond,0,0.428
KA Reynolds,0,1
MJ Ross,0,0.428
Saad Bin Zafar,0,0.272
Sajid Cheema,0,0.6
Salman Butt,0,0.125
P Sarraf,0,0.333
BM Scholtz,0,0.214
SMSM Senanayake,0,0.125
Shahzaib Hasan,0,0.3
D Sheeli,0,1
NK Shetty,0,1.5
Shiraz Khan,0,0.5
P Silas,0,0.75
VS Solanki,0,1
MWR Stokes,0,0.333
AO Suji,0,0.375
CR Suryawanshi,0,1
A Symonds,0,0.214
SW Tait,0,0.142
SN Thakur,0,0.428
OFJ Tonuu,0,0.75
JD Unadkat,0,0.3
LV van Beek,0,0.375
HE van der Dussen,0,0.333
M Vijay,0,0.333
TP Visee,0,0.115
AC Voges,0,0.428
C Waiswa,0,0.75
HR Walsh,0,0.23
BJ Watling,0,0.6
UT Yadav,0,0.428
KJ Young,0,1
SA Abbott,0,0.5
Abdullah Akbarjan,0,0.4
Abdul Razzaq,0,0.062
Abdul Shakoor,1,1
AS Abioye,0,0.4
IKO Aboagye,0,0.5
Abu Hider,0,0.166
Abdul Hashmi,1,0.333
Ahmed Faiz,0,0.222
CM Akachukwu,0,0.25
DI Allan,0,0.2
Alok Kapali,0,0.285
TR Ambrose,1,2
Amjad Khan,0,0.5
Amjad Mahboob,0,0.181
Amjad Sher,0,0.4
Anamul Haque,0,0.166
Anique Uddin,0,0.4
R Ankad,0,0.25
Anwar Arudin,0,0.181
Anwar Rahman,0,0.25
Areeb Quadir,0,1
Ashfaq Ahmed,0,0.166
MNM Aslam,0,0.333
Asrar Ahmed,0,0.666
AA Banner,0,0.666
GG Banner,0,0.666
LJ Barker,0,0.222
GEF Barnett,0,0.4
CD Barnwell,0,0.333
A Bhagwat,0,0.5
M Bhanuka,0,1
RA Bhatti,1,0.5
DE Bollinger,0,0.222
JP Bray,0,1
GB Brent,0,0.666
PR Brown,0,0.5
AF Buurman,1,0.5
VD Chandra,0,0.666
BB Chari,0,0.666
PP Chawla,0,0.285
CK Coventry,0,0.153
KM Dabengwa,0,0.25
F Damiao Couana,0,0.333
P Danci,0,1
RR David,0,0.5
JM Davison,0,0.4
LA Dawson,0,0.333
TB de Bruyn,0,1
N Deonarine,0,0.25
AP Devcich,0,0.5
R Dhawan,0,2
GD Drummond,0,0.117
L Emilio,0,0.5
GDR Eranga,0,0.222
Faran Afzal,0,0.222
Fayyaz Butt,0,0.142
A Ferguson,0,0.4
N Pradeep,0,0.142
WIA Fernando,0,0.2
NJ Ferraby,0,0.142
SP Fleming,0,0.4
DR Flynn,0,0.4
JD Freyone,0,0.5
GC Galanis,0,1
V Ganesan,0,0.5
CJ Gannon,0,0.5
Habib Ahmadzai,0,0.4
Hamid Hassan,0,0.09
Hammad Azam,0,0.4
Jandu Hamoud,0,0.333
AS Hansra,0,0.25
Haseeb Amjad,0,0.111
JW Hastings,0,0.222
C Hauptfleisch,1,0.4
Hazratullah Zazai,0,0.153
L Hermida,0,0.4
D Heyliger,0,0.181
RM Hira,0,0.133
Hirenkumar Patel,0,0.5
S Hirugade,0,0.333
Imran Anwar,0,0.5
Imran Ali,0,0.5
CA Ingram,0,0.222
Irfan Ahmed,0,0.25
Ismat Ullah,0,0.5
H Ivanov,0,0.666
Joginder Sharma,0,0.5
GO Jones,0,1
MBS Jonkman,0,0.666
Junaid Siddiqui,0,0.153
Junaid Siddique,0,0.25
Karweng NG,0,0.5
MS Kasprowicz,0,1
SM Katich,0,0.666
Z Khan,0,0.117
Khurram Khan,0,0.666
M Klinger,0,0.666
HGJM Kulatunga,0,1
JS Kundi,0,0.333
A Lark,0,0.4
LC Le Tissier,0,0.222
JB Little,0,0.181
MF Maharoof,0,0.25
NA Maiolo,0,0.285
DJ Malan,0,0.222
JN Malan,0,1
A Manousis,0,0.666
Mansoor Amjad,0,2
A Martin,0,2
SW Masakadza,0,0.285
WT Mashinge,0,1
NO Miller,0,0.222
SF Mire,0,0.222
Mohammad Ghazanfar,0,0.4
Mohammad Naim,0,0.666
Mohammad Salman,1,2
Mohammed Asghar,0,0.5
Mohammed Nurji,0,0.333
RS Morton,0,0.285
Muhammad Kashif,0,0.2
Muhammad Nadeem,0,0.4
RG Mukasa,0,0.5
Mukhtar Ahmed,0,0.333
J Mulder,0,0.25
G Murali,0,0.666
Murid Ekrami,0,0.666
TK Musakanda,0,0.333
LA Musiani,0,0.4
CT Mutombodzi,0,0.153
B Muzarabani,0,0.333
Naeem Islam,0,0.2
Nanda Kumar,0,0.666
N Nankov,0,0.666
Naved-ul-Hasan,0,0.5
Nawazish Jezuli,0,2
Najmul Hossain Shanto,0,1
Nazmul Islam,0,0.153
Nazwan Ismail,0,0.666
P Negi,0,2
K Nestor,0,0.5
G Nikitas,2,1
Noor Momand,0,1
F Nsubuga,0,0.666
M Ntini,0,0.2
GH O'Brien,0,0.181
SA Okpe,0,0.25
LN Oluoch,0,0.2
AA Onikoyi,0,0.222
E Otieno,0,0.111
KO Otieno,0,0.5
HC Overdijk,0,0.666
AM Oyede,0,0.25
T Panyangara,0,0.142
AE Paraam,0,0.666
SD Parry,0,0.4
IK Pathan,0,0.086
KMA Paul,0,0.111
T Perera,0,0.333
JE Pitcher,0,0.666
OL Pitcher,0,0.666
SM Pollock,0,0.166
NS Poonia,0,0.285
A Poulose,0,0.666
DBL Powell,0,0.4
AD Poynter,0,0.117
A Pusthay,0,0.4
Qadeer Ahmed,0,0.2
Raees Ahmadzai,0,0.25
Raag Kapur,0,0.5
S Rakshit,0,0.285
R Rampaul,0,0.086
Raza-ur-Rehman,0,0.4
Raza Hasan,0,0.2
DJ Reekers,0,0.4
GA Reynold,0,0.666
LH Rodrigues,0,0.5
R Rohan,0,0.2
S Rossi,0,0.4
Saber Zakhil,0,0.666
S Saeed,0,0.4
Sagar Pun,0,0.222
Sahibzada Farhan,0,0.666
J Salazar,0,1
Saqib Zulfiqar,0,0.333
A Sathya,0,0.666
V Sehwag,0,0.111
Shaikh Ashraf,0,0.5
Shakeel Ansar,1,1
PH Shamdasani,0,0.5
Shamsur Rahman,0,0.25
V Shankar,0,0.222
Shoaib Akhtar,0,0.133
Shoaib Ali,0,0.4
Shoaib Qureshi,0,0.4
Sidhant Singh,0,0.25
RP Singh,0,0.222
L Sipamla,0,0.4
S Smith,0,0.4
S Snater,0,0.166
Sohag Gazi,0,0.2
CA Soper,0,0.153
S Sreesanth,0,0.222
H Srinivasan,1,2
JH Stander,0,0.181
F Stoman,1,0.5
DC Stovell,0,0.333
GM Strydom,0,0.333
JTS Sumerauer,0,0.25
K Suttisan,0,1
Syed Aziz,0,0.153
Tahir Dar,0,0.5
Tauqeer Hussain,0,0.5
WU Tharanga,0,0.076
J Theron,0,0.222
RA Thomas,0,0.25
GJ Thompson,0,0.2
T Thushara,0,0.333
DT Tiripano,0,0.2
MK Tiwary,0,0.666
JC Tredwell,0,0.125
ME Trescothick,0,0.666
T Tshose,0,1
E Ul Haq,0,0.4
Umar Adam,0,0.181
RV Uthappa,0,0.166
R van der Merwe,0,0.4
S Vashisht,0,0.666
Vichanath Singh,0,0.5
Vinod Kumar,0,0.666
BV Vitori,0,0.181
Waheed Ahmed,0,0.2
SR Welsh,0,2
AR White,0,0.117
CG Williams,0,0.153
OR Willis,1,0.666
C Wright,0,0.333
Yasar Haroon,0,0.5
Yusuf Ebrahim,0,0.666
Zahoor Khan,0,0.111
C Zhuwao,0,0.285
Zishan Shah,0,0.5
B Zuiderent,0,0.333
M Abdulla,0,0.2
Abdul Shakoor,1,0.166
Abdul Wahid,0,0.2
Abraash Khan,0,0.142
Abrar Bilal,1,0.333
Abu Jayed,0,0.333
AR Adams,0,0.25
VD Adewoye,0,0.142
Afsar Zazai,1,1
GJ Agius,0,0.5
P Agnihotri,0,0.5
SA Ahmad,0,0.333
Ahmed Hassan,0,0.09
GW Aldridge,0,1
Amir Ali,0,0.111
Amjad Ali,0,0.2
Anam Mollik,0,0.5
Anasim Khan,0,0.25
Aqib Iqbal,0,0.2
S Arachchige,0,0.25
Arafat Sunny,0,0.1
Aritra Dutta,0,0.125
P Arora,0,0.5
U Aryaman Sunil,0,0.5
Ashiqullah Said,0,0.333
A Ashokan,0,0.5
Aslam Mohammad,0,0.333
SK Atai,0,0.5
V Ateak,0,0.25
Atif Kamal,0,0.25
MS Aulakh,0,0.333
Avi Dixit,0,1
Awais Malik,0,0.09
MO Bacarese,0,0.333
KS Bagabena,0,0.25
JD Baker,0,0.25
G Bakiweyem,0,0.333
WD Balaji Rao,0,0.25
